num,intensity,Mass,Error,MolForm,C,H,N,O,S,Cl,Br,I,P
1,2125934,184.970364,-0.486,C10 H O2 S,10,1,0,2,1,0,0,0,0
2,2507690,248.94966,1.095,C10 H O6 S,10,1,0,6,1,0,0,0,0
3,3527179,192.06669,-0.382,C10 H10 N O3,10,10,1,3,0,0,0,0,0
4,6946523,208.061603,-0.342,C10 H10 N O4,10,10,1,4,0,0,0,0,0
5,6782475,224.056513,-0.3,C10 H10 N O5,10,10,1,5,0,0,0,0,0
6,4664970,240.051361,-0.003,C10 H10 N O6,10,10,1,6,0,0,0,0,0
7,2483621,256.046164,0.436,C10 H10 N O7,10,10,1,7,0,0,0,0,0
8,14565344,219.069657,-0.017,C9 H15 O4 S,9,15,0,4,1,0,0,0,0
9,4055015,219.077537,-0.095,C11 H11 N2 O3,11,11,2,3,0,0,0,0,0
10,4156400,219.087416,-0.02,C9 H15 O6,9,15,0,6,0,0,0,0,0
11,2492414,219.102661,0.031,C13 H15 O3,13,15,0,3,0,0,0,0,0
12,2611534,220.040396,0.027,C14 H6 N O2,14,6,1,2,0,0,0,0,0
13,2978145,220.061554,-0.102,C11 H10 N O4,11,10,1,4,0,0,0,0,0
14,2152834,220.097876,0.186,C12 H14 N O3,12,14,1,3,0,0,0,0,0
15,5111484,221.009167,-0.026,C10 H5 O6,10,5,0,6,0,0,0,0,0
16,2197962,221.024395,0.103,C14 H5 O3,14,5,0,3,0,0,0,0,0
17,14216925,221.045593,-0.207,C11 H9 O5,11,9,0,5,0,0,0,0,0
18,6207200,221.048924,-0.028,C8 H13 O5 S,8,13,0,5,1,0,0,0,0
19,25048830,221.081961,-0.131,C12 H13 O4,12,13,0,4,0,0,0,0,0
20,11712257,221.085325,-0.097,C9 H17 O4 S,9,17,0,4,1,0,0,0,0
21,2898719,221.118291,0.124,C13 H17 O3,13,17,0,3,0,0,0,0,0
22,6007616,221.15474,-0.163,C14 H21 O2,14,21,0,2,0,0,0,0,0
23,3186276,222.040799,-0.015,C10 H8 N O5,10,8,1,5,0,0,0,0,0
24,6471302,222.077217,-0.161,C11 H12 N O4,11,12,1,4,0,0,0,0,0
25,10882531,223.024834,-0.101,C10 H7 O6,10,7,0,6,0,0,0,0,0
26,10526212,223.061217,-0.089,C11 H11 O5,11,11,0,5,0,0,0,0,0
27,12113415,223.064578,-0.041,C8 H15 O5 S,8,15,0,5,1,0,0,0,0
28,2805262,223.072492,-0.277,C10 H11 N2 O4,10,11,2,4,0,0,0,0,0
29,2576402,223.076566,-0.504,C15 H11 O2,15,11,0,2,0,0,0,0,0
30,6844965,223.097606,-0.106,C12 H15 O4,12,15,0,4,0,0,0,0,0
31,4053574,223.134039,-0.316,C13 H19 O3,13,19,0,3,0,0,0,0,0
32,6279565,224.056457,-0.047,C10 H10 N O5,10,10,1,5,0,0,0,0,0
33,5303727,224.092836,-0.021,C11 H14 N O4,11,14,1,4,0,0,0,0,0
